,conf,detections,wrongDetections,wrongDetectionsP,IDs,wrongIds,wrongIdsP,remainingDetections,remainingDetectionsP,remainingIds,remainingIdsP,DET,DETWRONG,IDS,IDSWRONG
29,28.999999999999996,907895,77053,16.97398928290166,4016,2055,51.170318725099605,907895,85.97221867119683,4016,98.046875,78.67576107943597,7.296457591760863,47.8759765625,50.1708984375
30,30.0,905419,75957,16.77830926896829,4012,2052,51.14656031904287,905419,85.73775630117619,4012,97.94921875,78.54508334493335,7.192672956242845,47.8515625,50.09765625
31,31.0,900469,73839,16.400120381712195,4000,2047,51.175000000000004,900469,85.26902094915594,4000,97.65625,78.27690990717147,6.992111041984483,47.6806640625,49.9755859375
32,32.0,898008,72796,16.21277316015002,3996,2046,51.201201201201194,898008,85.03597898929294,3996,97.55859375,78.14263380026951,6.893345189023449,47.607421875,49.951171875
33,33.0,895572,71761,16.025735507586212,3992,2046,51.252505010020045,895572,84.80530437969269,3992,97.4609375,78.00996749154619,6.795336888146488,47.509765625,49.951171875
34,34.0,893246,70784,15.848713568266747,3985,2045,51.31744040150564,893246,84.58504611124842,3985,97.2900390625,77.88222527136936,6.702820839879056,47.36328125,49.9267578125
35,35.0,888592,68814,15.488323099915371,3980,2042,51.30653266331658,888592,84.14434018633887,3980,97.16796875,77.62806654716282,6.516273639176048,47.314453125,49.853515625
36,36.0,886279,67819,15.304210073802945,3973,2039,51.321419582179715,886279,83.92531294003123,3973,96.9970703125,77.50325984131177,6.422053098719453,47.216796875,49.7802734375
37,37.0,884020,66903,15.136082894052173,3966,2035,51.311144730206756,884020,83.71139917029107,3966,96.826171875,77.376085785198,6.335313385093079,47.1435546875,49.6826171875
38,38.0,881827,66024,14.974365720260325,3962,2035,51.36294800605755,881827,83.50373520524454,3962,96.728515625,77.25165785538898,6.252077349855545,47.0458984375,49.6826171875
39,39.0,877344,64130,14.61912317175475,3952,2032,51.417004048582996,877344,83.07922195613206,3952,96.484375,77.00649506218082,6.072726893951231,46.875,49.609375
40,40.0,875137,63260,14.45716499245261,3945,2030,51.457541191381495,875137,82.87023227493839,3945,96.3134765625,76.8798891701301,5.990343104808278,46.7529296875,49.560546875
41,41.0,872875,62323,14.27993698983245,3941,2028,51.45902055315909,872875,82.6560344231667,3941,96.2158203125,76.75441960620549,5.901614816961212,46.7041015625,49.51171875
