,id,age,degree,strength,lcc,lccF,lccFinv,between,betweenF,betweenFinv,closeness,closenessF,closenessFinv,evc,evcF,evcFinv
832,3139,7,641,7124,0.7126803822152886,0.018601373300875832,0.15202741019325502,0.0006985100718929273,0.0006321264894254211,0.0042158162323606896,0.7440974866717441,0.5224598930481283,17.32647706897402,0.0361668070499024,0.05465459438970689,0.03155165990510768
833,2199,27,659,5130,0.7345153151823478,0.0149368061911955,0.17896639605750483,0.00046833638005316393,0.0007962255888978148,0.001300401026897327,0.7544401544401544,0.5292524377031419,14.679941860126986,0.0378702390418828,0.029509884654573014,0.036899025483464507
834,1071,31,498,2763,0.7661955669761541,0.013187699884495262,0.21223233297522137,0.00027029232815158966,0.0008161551638398631,0.0,0.6710164835164835,0.5281081081081082,12.206600036769618,0.028484377086595212,0.01390683827795232,0.03220498014513095
835,458,20,670,6258,0.7321642906543515,0.01769747621461918,0.154081783680571,0.000599438090027121,0.000760922319938968,0.0015290199171099216,0.7609034267912772,0.5258342303552207,16.029652300084955,0.03849872809592107,0.04513012828940985,0.0318899017552402
836,4005,34,726,5856,0.7106678065925714,0.01528880911649897,0.16059060896992872,0.0007383952322041619,0.0007664714079338679,0.00023176502172928166,0.7956026058631922,0.5281081081081082,13.7482679473568,0.04111689692973258,0.03224659382722019,0.036294033039624
837,3313,21,586,5306,0.7029316531023015,0.016561968129994623,0.16249975389546442,0.0006624518446367108,0.0011504405979166213,0.00010067620853398661,0.7141812865497076,0.530113944655453,16.135660324160394,0.032445077011755065,0.03994226589049195,0.031545728196775105
838,1725,38,589,4566,0.7339835764526523,0.014963599704670745,0.18113171988186932,0.00045267838243008655,0.0009121325956503824,0.002061764853935601,0.7157509157509158,0.5289658906334597,15.80048460317727,0.0335469484480795,0.02622558291567063,0.033570275811687124
839,1751,234,587,5788,0.738881685669599,0.015341990852984693,0.1930565219789825,0.00048046841261072516,0.0015267488052239932,0.032523658909005486,0.7147037307973665,0.5365183964854475,18.716288276918956,0.033470106613997574,0.04075744651353527,0.03706338794758004
840,1366,32,672,4792,0.7206683343978426,0.014361801790811755,0.17343016981423606,0.0006600333206478395,0.0008143064861012517,0.00037963320301357453,0.7620904836193447,0.5275377969762419,14.175903768298518,0.03840416386766394,0.030996314699912514,0.03583021380993155
841,361,24,270,824,0.8278948093074487,0.010120260736170051,0.2953874898992438,5.019939350516858e-05,0.0006179415245551716,0.0,0.580166270783848,0.5235798499464094,6.879303112932715,0.015278799767985692,0.0038762841689024973,0.02400541352414966
842,1772,0,256,1156,0.7503982843137255,0.011795868744521766,0.23158034658501528,0.00011166163405831425,0.0005871840343300629,0.0,0.5750441436138906,0.520234291799787,10.417936128769373,0.013623863474048384,0.007834858322888908,0.019025969998726737
843,3418,12,672,4984,0.7059071393087787,0.013931080572781503,0.17688213635036548,0.0007009103348621235,0.0010619240980237218,0.0008158967733275165,0.7620904836193447,0.5330060010911075,15.612558816041567,0.03799337198659587,0.031481777313274395,0.038325984659279194
844,2226,17,479,3586,0.7596544404748387,0.014282181070531369,0.20580193097052168,0.00026254814991991284,0.0009231093257914645,0.0072004463311911675,0.6623728813559322,0.5289658906334597,16.1457741617779,0.027142011153346496,0.017605046558967535,0.031427203597631806
